date,cape,mkt5yrfwd
1964-8,22.98434,0.0545851
1964-9,22.65003,0.0565471
1964-10,22.89222,0.0536989
1964-11,23.21214,0.0523485
1964-12,23.22505,0.0524319
1965-1,22.75298,0.0446969
1965-2,23.26933,0.0376128
1965-3,23.37204,0.0288347
1965-4,23.25352,0.0322135
1965-5,23.42055,0.0232699
1965-6,23.70919,-0.0042287
1965-7,22.38534,0.0044167
1965-8,22.30078,0.0052188
1965-9,22.66561,0.0074147
1965-10,23.37415,0.0126222
1965-11,23.77574,0.0125754
1965-12,23.92546,0.0108025
1966-1,23.69411,0.0252933
1966-2,24.05848,0.0295373
1966-3,23.69983,0.0388425
1966-4,22.61111,0.0529352
1966-5,23.11369,0.0536601
1966-6,21.85217,0.0621931
1966-7,21.55524,0.059967
1966-8,21.3817,0.0589315
1966-9,19.9136,0.0683076
1966-10,19.16168,0.0806337
1966-11,18.8254,0.0778088
1966-12,19.71122,0.0572064
1967-1,19.73647,0.0704184
1967-2,20.43223,0.0710407
1967-3,21.07446,0.0676422
1967-4,21.44389,0.0676316
1967-5,21.68603,0.0660963
1967-6,21.94865,0.0601131
1967-7,21.5521,0.06332
1967-8,21.80419,0.05806
1967-9,22.0308,0.0620489
1967-10,22.21915,0.0559892
1967-11,22.0682,0.0566652
1967-12,21.26327,0.0738118
1968-1,21.7516,0.072136
1968-2,21.51154,0.0742799
1968-3,20.42471,0.0763586
1968-4,19.93471,0.0768105
1968-5,21.27735,0.0575182
1968-6,21.63036,0.0467103
1968-7,22.00463,0.0364685
1968-8,21.75354,0.0388387
1968-9,21.13762,0.0394205
1968-10,21.68028,0.0363221
1968-11,22.00461,0.0393383
1968-12,22.1955,0.0210359
1969-1,22.27787,0.0041367
1969-2,21.19497,0.0157472
1969-3,20.89559,0.0111355
1969-4,20.20229,0.0241628
1969-5,20.42861,0.0095067
1969-6,20.97228,-0.0029751
1969-7,19.71334,0.0081562
1969-8,18.6817,-0.0073796
1969-9,18.42942,-0.0144231
1969-10,18.39805,-0.0362514
1969-11,18.44866,-0.0342842
1969-12,18.43799,-0.0290897
1970-1,17.32692,-0.031287
1970-2,17.09054,-0.0139306
1970-3,16.37259,0.0131246
1970-4,16.53169,0.0189723
1970-5,15.87307,0.0277114
1970-6,13.984,0.0662152
1970-7,13.79969,0.0729318
1970-8,13.7265,0.0727454
1970-9,14.10029,0.0505412
1970-10,14.84266,0.03596
1970-11,15.06418,0.0409167
1970-12,14.95084,0.044712
1971-1,15.87385,0.0279084
1971-2,16.4618,0.0384132
1971-3,17.03453,0.0384685
1971-4,17.40291,0.034321
1971-5,17.92411,0.0291026
1971-6,17.56424,0.0305985
1971-7,17.08317,0.0357712
1971-8,16.88942,0.0421968
1971-9,16.51948,0.0442291
1971-10,16.85679,0.0441238
1971-11,16.42886,0.0414677
